selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
-0.91704285,-1.1039642,0.98471206,0.23062404,1.4162123,0.6465754,-0.82027704,0.3747971
-1.2537905,-1.8386766,0.80026156,0.77633435,3.0928826,0.58253586,-0.89060223,1.2709427
0.16657853,0.25587255,-0.48697388,-0.046351004,0.229882,-0.01313601,0.08642457,-0.07928818
-0.27954558,1.1330537,-0.19415592,0.04912584,-0.1644867,0.5369401,0.2083433,-0.93770677
0.43203714,1.9100523,0.8399643,-1.2292969,0.11733903,-0.6459457,-0.59742284,0.18427087
-1.3536509,-2.2068515,1.2324033,0.7959151,1.9298216,0.22750904,-1.7152554,0.77928114
-0.36572602,-0.83769333,0.49956357,0.96369505,2.5972877,-0.0911993,-1.4746537,0.25592336
0.10885913,1.2106153,-0.6808546,-0.65274966,-0.27120394,-0.1674659,0.4116412,-0.23957822
-0.71120685,-0.67161196,1.7384384,-0.4674278,1.8004516,-0.05962151,-1.2439318,1.2753025
-1.2920799,-1.5160863,0.6850881,-0.48970357,0.82030153,0.41226956,-1.1058022,0.51533633
-0.095928945,0.34605062,-0.19070546,0.28249452,-0.5416787,-0.4533477,-0.15170105,-0.65338767
-0.3211788,-0.6101766,-0.01751925,0.4627907,0.19295186,0.05947957,-0.35279986,-0.08898519
-0.25678843,0.2653781,-0.22042811,-0.78144544,-0.4935886,-0.31410182,-0.045032617,-0.038038954
-0.03266782,0.38845992,-0.5041013,-0.13522816,-0.252292,0.036948845,0.43510127,-0.128079
-1.263009,-1.5215715,0.83306617,-0.17552944,1.9844251,0.5726948,-0.2493394,1.1456734
-0.16654721,0.1274836,0.07222243,-0.420235,0.063629195,-0.08798822,-0.15530509,-0.009188706
-0.108241394,-0.25507343,-0.30932146,-0.061888177,-0.010779793,-0.7612229,-0.34934655,-0.03225699
0.15861587,0.009233281,-0.37640887,0.16819072,-0.29480344,-0.8545074,-0.5024278,-0.5946074
-0.10498131,0.6688846,-0.7676917,-0.4428573,-0.6990635,-0.17734759,0.1866595,-0.47313428
-0.101899914,-0.052546885,-0.5240035,0.031613894,-0.23647015,-0.29410017,-0.019436227,-0.31606114
0.036115702,0.252261,-0.41163126,-0.07362147,-0.3560047,-0.3813278,-0.018861001,-0.33126646
